year,country,name,position,height_cm,weight_kg,birth_year,bmi
2001,can,draper kris,NA,187,86,1971,24.59321112985787
2001,can,walz wes,NA,179,81,1970,25.280109859242845
2001,can,lecavalier vincent,NA,196,93,1980,24.20866305705956
2001,can,stuart brad,NA,187,95,1979,27.166919271354622
2001,can,richards brad,NA,185,85,1980,24.835646457268076
2001,can,smyth ryan,NA,183,88,1976,26.27728507868255
2001,can,luongo roberto,NA,192,90,1979,24.4140625
2001,can,giguere jean-sebastien,NA,191,84,1977,23.025684602944
2001,can,cloutier dan,NA,185,86,1976,25.127830533235937
2001,can,brathwaite fred,NA,168,79,1972,27.99036281179139
2001,cze,kaberle frantisek,NA,184,84,1973,24.8109640831758
2001,cze,kubina pavel,NA,197,109,1977,28.08626864902471
2001,cze,pilar karel,NA,191,94,1977,25.766837531865903
2001,cze,richter martin,NA,182,92,1977,27.77442337881898
2001,cze,spacek jaroslav,NA,184,90,1974,26.583175803402646
2001,cze,martinek radek,NA,182,92,1976,27.77442337881898
2001,cze,kuba filip,NA,192,90,1976,24.4140625
2001,cze,patera pavel,NA,187,80,1971,22.877405702193368
2001,cze,ujcik viktor,NA,179,88,1972,27.46481071127618
2001,cze,cajanek petr,NA,180,78,1975,24.074074074074073
2001,cze,hlinka jaroslav,NA,178,78,1976,24.61810377477591
2001,cze,dvorak radek,NA,188,84,1977,23.76641014033499
2001,cze,prochazka martin,NA,180,78,1972,24.074074074074073
2001,cze,reichel robert,NA,178,83,1971,26.19618735008206
2001,cze,moravec david,NA,183,91,1973,27.173101615455817
2001,cze,vlasak tomas,NA,182,78,1975,23.54788069073783
2001,cze,rucinsky martin,NA,185,87,1971,25.420014609203797
2001,cze,dopita jiri,NA,193,97,1968,26.040967542752828
2001,cze,vyborny david,NA,179,83,1975,25.90431010268094
2001,cze,tomajko jan,NA,185,82,1976,23.959094229364496
2001,cze,hnilicka milan,NA,185,83,1973,24.251278305332356
2001,cze,hudacek vladimir,NA,184,92,1971,27.173913043478255
2001,cze,salficky dusan,NA,186,80,1972,23.12406058503873
2001,fin,kiprusoff marko,NA,184,89,1972,26.287807183364837
2001,fin,nummelin petteri,NA,178,83,1972,26.19618735008206
2001,fin,timonen kimmo,NA,178,88,1975,27.77427092538821
2001,fin,niemi antti-jussi,NA,185,87,1977,25.420014609203797
2001,fin,salo sami,NA,192,99,1974,26.85546875
2001,fin,gronvall janne,NA,190,92,1973,25.48476454293629
2001,fin,vaananen ossi,NA,191,92,1980,25.21860694608152
2001,fin,berg aki-petteri,NA,193,97,1977,26.040967542752828
2001,fin,helminen raimo,NA,183,89,1964,26.575890590940304
2001,fin,laaksonen antti,NA,183,82,1973,24.48565200513601
2001,fin,kallio tomi,NA,184,84,1977,24.8109640831758
2001,fin,kapanen niko,NA,177,80,1978,25.53544639152223
2001,fin,kapanen sami,NA,177,77,1973,24.577867151840145
2001,fin,hentunen jukka,NA,178,88,1974,27.77427092538821
2001,fin,parssinen timo,NA,178,81,1977,25.5649539199596
2001,fin,lind juha,NA,181,84,1974,25.640242971826257
2001,fin,sihvonen toni,NA,185,90,1971,26.296566837107378
2001,fin,rintanen kimmo,NA,181,88,1973,26.8612069228656
2001,fin,virta tony,NA,178,86,1972,27.143037495265748
2001,fin,ylonen juha,NA,184,84,1972,24.8109640831758
2001,fin,ruutu jarkko,NA,187,88,1975,25.165146272412706
2001,fin,nurminen pasi,NA,179,88,1975,27.46481071127618
2001,fin,kiprusoff miikka,NA,185,84,1976,24.543462381300216
2001,fin,myllys jarmo,NA,175,78,1965,25.46938775510204
2001,ger,ludemann mirko,NA,180,83,1973,25.61728395061728
2001,ger,schubert christoph,NA,185,80,1982,23.37472607742878
2001,ger,molling jochen,NA,186,100,1973,28.905075731298417
2001,ger,renz andreas,NA,183,90,1977,26.874496103198062
2001,ger,goldmann erich,NA,192,90,1976,24.4140625
2001,ger,mayr jorg,NA,177,81,1970,25.854639471416256
2001,ger,seidenberg dennis,NA,184,82,1981,24.22022684310019
2001,ger,smazal heiko,NA,179,81,1974,25.280109859242845
2001,ger,felski sven,NA,181,76,1974,23.198315069747565
2001,ger,hynes wayne,NA,182,93,1969,28.076319285110493
2001,ger,loth andreas,NA,184,88,1972,25.99243856332703
2001,ger,sturm marco,NA,181,84,1978,25.640242971826257
2001,ger,rumrich jurgen,NA,181,85,1968,25.945483959586092
2001,ger,daffner thomas,NA,191,95,1971,26.040952824758097
2001,ger,kreutzer daniel,NA,178,82,1979,25.88057063502083
2001,ger,abstreiter tobias,NA,175,84,1970,27.428571428571427
2001,ger,greilinger thomas,NA,180,88,1981,27.160493827160497
2001,ger,soccio leonard,NA,181,85,1967,25.945483959586092
2001,ger,kathan nikolaus,NA,181,84,1977,25.640242971826257
2001,ger,goc marcel,NA,182,82,1983,24.755464315903875
2001,ger,mackay mark,NA,175,75,1964,24.489795918367346
2001,ger,benda jan,NA,192,96,1972,26.041666666666668
2001,ger,conti leonardo,NA,194,95,1978,25.241789775746625
2001,ger,kunast christian,NA,180,82,1971,25.30864197530864
2001,ger,muller robert,NA,172,74,1980,25.013520822065985
2001,ita,mansi maurizio,NA,182,82,1965,24.755464315903875
2001,ita,lorenzi carlo,NA,175,75,1974,24.489795918367346
2001,ita,rucchin larry,NA,185,93,1967,27.173119065010955
2001,ita,bartolone christopher,NA,179,82,1970,25.592209980961893
2001,ita,de angelis michael,NA,180,83,1966,25.61728395061728
2001,ita,insam leo,NA,190,100,1975,27.70083102493075
2001,ita,strazzabosco michele,NA,193,93,1976,24.967113211092915
2001,ita,helfer armin,NA,187,86,1980,24.59321112985787
2001,ita,de toni lino,NA,178,74,1972,23.355636914530994
2001,ita,ramoser roland,NA,191,93,1972,25.492722238973712
2001,ita,beattie scott,NA,172,75,1968,25.351541373715524
2001,ita,zarrillo bruno,NA,181,77,1966,23.503556057507403
2001,ita,de toni manuel,NA,181,80,1979,24.41927902078691
2001,ita,felicetti dino,NA,186,84,1970,24.280263614290668
2001,ita,busillo giuseppe,NA,186,92,1970,26.59266967279454
2001,ita,margoni stefano,NA,182,80,1975,24.151672503320853
2001,ita,chitarroni mario,NA,171,82,1967,28.042816593139772
2001,ita,sacratini vezio,NA,172,78,1966,26.365603028664147
2001,ita,iob anthony,NA,182,93,1971,28.076319285110493
2001,ita,chelodi armando,NA,179,82,1973,25.592209980961893
2001,ita,carpano andrea,NA,174,78,1976,25.762980578676174
2001,ita,rosati mike,NA,178,82,1968,25.88057063502083
2001,ita,hell guenther,NA,174,76,1978,25.102391333069097
2001,jpn,kawaguchi yutaka,NA,175,78,1973,25.46938775510204
2001,jpn,isojima akihito,NA,177,75,1973,23.93948099205209
2001,jpn,ito kengo,NA,180,75,1978,23.148148148148145
2001,jpn,miura hiroyuki,NA,191,86,1973,23.573915188728375
2001,jpn,miyauchi fumitaka,NA,181,84,1972,25.640242971826257
2001,jpn,kawashima makoto,NA,178,74,1979,23.355636914530994
2001,jpn,daikawa daniel,NA,179,88,1971,27.46481071127618
2001,jpn,katayama tatsuki,NA,186,88,1973,25.4364666435426
2001,jpn,murakami hiroyuki,NA,182,81,1971,24.45356840961236
2001,jpn,uchiyama tomohiko,NA,173,73,1979,24.3910588392529
2001,jpn,suzuki takahito,NA,174,75,1975,24.77209671026556
2001,jpn,iwata yasunori,NA,180,78,1972,24.074074074074073
2001,jpn,kawahira makoto,NA,178,84,1971,26.511804065143288
2001,jpn,shirono masaki,NA,179,79,1970,24.65590961580475
2001,jpn,yahata shin,NA,178,77,1974,24.30248705971468
2001,jpn,sakata junji,NA,181,80,1974,24.41927902078691
2001,jpn,fujita kiyoshi,NA,172,74,1972,25.013520822065985
2001,jpn,nihei taro ivan,NA,177,80,1971,25.53544639152223
2001,jpn,kuwabara ryan,NA,185,89,1972,26.004382761139514
2001,jpn,yule chris,NA,175,70,1975,22.857142857142858
2001,jpn,iwasaki shinichi,NA,178,85,1968,26.82742078020452
2001,jpn,nihei jiro igor,NA,173,76,1971,25.393431120318084
2001,jpn,fukufuji yutaka,NA,185,76,1982,22.205989773557334
2001,lat,ozolins sandis,NA,188,88,1972,24.898143956541425
2001,lat,astasenko kaspars,NA,191,92,1975,25.21860694608152
2001,lat,sorokins olegs,NA,178,80,1974,25.24933720489837
2001,lat,tribuncovs atvars,NA,190,89,1976,24.653739612188367
2001,lat,ignatjevs viktors,NA,190,92,1970,25.48476454293629
2001,lat,sejejs normunds,NA,185,85,1968,24.835646457268076
2001,lat,kupaks atrurs,NA,181,79,1973,24.114038033027075
2001,lat,skrastins karlis,NA,188,85,1974,24.049343594386603
2001,lat,opulskis juris,NA,176,80,1969,25.826446280991735
2001,lat,macijevskis aleksandrs,NA,175,73,1975,23.836734693877553
