repo,day,hour,commits
torvalds/linux,0,19,94
torvalds/linux,0,20,40
torvalds/linux,0,21,84
torvalds/linux,0,22,59
torvalds/linux,0,23,16
torvalds/linux,1,0,37
torvalds/linux,1,1,26
torvalds/linux,1,2,21
torvalds/linux,1,3,20
torvalds/linux,1,4,19
torvalds/linux,1,5,9
torvalds/linux,1,6,27
torvalds/linux,1,7,35
torvalds/linux,1,8,84
torvalds/linux,1,9,117
torvalds/linux,1,10,240
torvalds/linux,1,11,353
torvalds/linux,1,12,259
torvalds/linux,1,13,230
torvalds/linux,1,14,288
torvalds/linux,1,15,418
torvalds/linux,1,16,270
torvalds/linux,1,17,330
torvalds/linux,1,18,202
torvalds/linux,1,19,119
torvalds/linux,1,20,143
torvalds/linux,1,21,182
torvalds/linux,1,22,117
torvalds/linux,1,23,87
torvalds/linux,2,0,96
torvalds/linux,2,1,55
torvalds/linux,2,2,37
torvalds/linux,2,3,30
torvalds/linux,2,4,7
torvalds/linux,2,5,15
torvalds/linux,2,6,14
torvalds/linux,2,7,66
torvalds/linux,2,8,143
torvalds/linux,2,9,205
torvalds/linux,2,10,294
torvalds/linux,2,11,312
torvalds/linux,2,12,218
torvalds/linux,2,13,286
torvalds/linux,2,14,284
torvalds/linux,2,15,342
torvalds/linux,2,16,325
torvalds/linux,2,17,241
torvalds/linux,2,18,242
torvalds/linux,2,19,221
torvalds/linux,2,20,158
torvalds/linux,2,21,79
torvalds/linux,2,22,98
torvalds/linux,2,23,96
torvalds/linux,3,0,36
torvalds/linux,3,1,48
torvalds/linux,3,2,28
torvalds/linux,3,3,11
torvalds/linux,3,4,18
torvalds/linux,3,5,29
torvalds/linux,3,6,30
torvalds/linux,3,7,47
torvalds/linux,3,8,101
torvalds/linux,3,9,222
torvalds/linux,3,10,317
torvalds/linux,3,11,304
torvalds/linux,3,12,251
torvalds/linux,3,13,258
torvalds/linux,3,14,238
torvalds/linux,3,15,300
torvalds/linux,3,16,333
torvalds/linux,3,17,331
torvalds/linux,3,18,227
torvalds/linux,3,19,104
torvalds/linux,3,20,137
torvalds/linux,3,21,81
torvalds/linux,3,22,122
torvalds/linux,3,23,83
torvalds/linux,4,0,57
torvalds/linux,4,1,33
torvalds/linux,4,2,32
torvalds/linux,4,3,30
torvalds/linux,4,4,21
torvalds/linux,4,5,11
torvalds/linux,4,6,38
torvalds/linux,4,7,45
torvalds/linux,4,8,76
torvalds/linux,4,9,177
torvalds/linux,4,10,200
torvalds/linux,4,11,226
torvalds/linux,4,12,245
torvalds/linux,4,13,200
torvalds/linux,4,14,351
torvalds/linux,4,15,300
torvalds/linux,4,16,361
torvalds/linux,4,17,300
torvalds/linux,4,18,120
torvalds/linux,4,19,124
torvalds/linux,4,20,123
torvalds/linux,4,21,104
torvalds/linux,4,22,80
torvalds/linux,4,23,64
torvalds/linux,5,0,58
torvalds/linux,5,1,48
torvalds/linux,5,2,17
torvalds/linux,5,3,14
torvalds/linux,5,4,31
torvalds/linux,5,5,29
torvalds/linux,5,6,37
torvalds/linux,5,7,63
torvalds/linux,5,8,139
torvalds/linux,5,9,199
torvalds/linux,5,10,276
torvalds/linux,5,11,297
torvalds/linux,5,12,212
torvalds/linux,5,13,188
torvalds/linux,5,14,252
torvalds/linux,5,15,237
torvalds/linux,5,16,328
torvalds/linux,5,17,344
torvalds/linux,5,18,157
torvalds/linux,5,19,111
torvalds/linux,5,20,91
torvalds/linux,5,21,127
torvalds/linux,5,22,86
torvalds/linux,5,23,92
torvalds/linux,6,0,61
torvalds/linux,6,1,17
torvalds/linux,6,2,24
torvalds/linux,6,3,41
torvalds/linux,6,4,11
torvalds/linux,6,5,15
torvalds/linux,6,6,5
torvalds/linux,6,7,10
torvalds/linux,6,8,15
torvalds/linux,6,9,31
torvalds/linux,6,10,91
torvalds/linux,6,11,51
torvalds/linux,6,12,80
torvalds/linux,6,13,59
torvalds/linux,6,14,78
torvalds/linux,6,15,68
torvalds/linux,6,16,69
torvalds/linux,6,17,56
torvalds/linux,6,18,69
torvalds/linux,6,19,36
torvalds/linux,6,20,36
torvalds/linux,6,21,44
torvalds/linux,6,22,47
torvalds/linux,6,23,81
facebook/react,0,0,28
facebook/react,0,1,22
facebook/react,0,2,15
facebook/react,0,3,15
facebook/react,0,4,12
facebook/react,0,5,8
facebook/react,0,6,6
facebook/react,0,7,3
facebook/react,0,8,24
facebook/react,0,9,22
facebook/react,0,10,36
facebook/react,0,11,48
facebook/react,0,12,43
facebook/react,0,13,51
facebook/react,0,14,42
facebook/react,0,15,52
facebook/react,0,16,60
facebook/react,0,17,53
facebook/react,0,18,43
facebook/react,0,19,32
facebook/react,0,20,25
facebook/react,0,21,36
facebook/react,0,22,42
facebook/react,0,23,36
facebook/react,1,0,38
facebook/react,1,1,27
facebook/react,1,2,7
facebook/react,1,3,10
facebook/react,1,4,9
facebook/react,1,5,2
facebook/react,1,6,9
facebook/react,1,7,22
facebook/react,1,8,65
facebook/react,1,9,143
facebook/react,1,10,189
facebook/react,1,11,271
facebook/react,1,12,220
facebook/react,1,13,245
facebook/react,1,14,260
facebook/react,1,15,321
facebook/react,1,16,334
facebook/react,1,17,254
facebook/react,1,18,185
facebook/react,1,19,156
facebook/react,1,20,139
facebook/react,1,21,135
facebook/react,1,22,110
facebook/react,1,23,99
facebook/react,2,0,60
facebook/react,2,1,52
facebook/react,2,2,25
facebook/react,2,3,27
facebook/react,2,4,7
facebook/react,2,5,10
facebook/react,2,6,18
facebook/react,2,7,37
facebook/react,2,8,79
facebook/react,2,9,127
facebook/react,2,10,239
facebook/react,2,11,327
facebook/react,2,12,278
facebook/react,2,13,316
facebook/react,2,14,346
facebook/react,2,15,315
facebook/react,2,16,328
facebook/react,2,17,249
facebook/react,2,18,202
facebook/react,2,19,160
facebook/react,2,20,107
facebook/react,2,21,122
facebook/react,2,22,131
facebook/react,2,23,127
facebook/react,3,0,85
facebook/react,3,1,55
facebook/react,3,2,36
facebook/react,3,3,22
facebook/react,3,4,11
facebook/react,3,5,6
facebook/react,3,6,16
facebook/react,3,7,34
facebook/react,3,8,92
facebook/react,3,9,120
facebook/react,3,10,238
facebook/react,3,11,305
facebook/react,3,12,215
facebook/react,3,13,303
facebook/react,3,14,349
facebook/react,3,15,343
facebook/react,3,16,290
facebook/react,3,17,332
facebook/react,3,18,226
facebook/react,3,19,162
facebook/react,3,20,119
facebook/react,3,21,125
facebook/react,3,22,108
facebook/react,3,23,104
facebook/react,4,0,73
facebook/react,4,1,49
facebook/react,4,2,36
facebook/react,4,3,16
facebook/react,4,4,14
facebook/react,4,5,11
facebook/react,4,6,23
facebook/react,4,7,37
facebook/react,4,8,98
facebook/react,4,9,172
facebook/react,4,10,218
facebook/react,4,11,270
facebook/react,4,12,214
facebook/react,4,13,295
facebook/react,4,14,334
facebook/react,4,15,332
facebook/react,4,16,318
facebook/react,4,17,252
facebook/react,4,18,237
facebook/react,4,19,183
facebook/react,4,20,127
facebook/react,4,21,101
facebook/react,4,22,109
facebook/react,4,23,87
facebook/react,5,0,65
facebook/react,5,1,36
facebook/react,5,2,34
facebook/react,5,3,23
facebook/react,5,4,22
facebook/react,5,5,10
facebook/react,5,6,11
facebook/react,5,7,31
facebook/react,5,8,87
facebook/react,5,9,143
facebook/react,5,10,206
facebook/react,5,11,240
facebook/react,5,12,225
facebook/react,5,13,256
facebook/react,5,14,290
facebook/react,5,15,272
facebook/react,5,16,314
facebook/react,5,17,220
facebook/react,5,18,140
facebook/react,5,19,101
facebook/react,5,20,78
facebook/react,5,21,76
facebook/react,5,22,64
facebook/react,5,23,75
facebook/react,6,0,51
facebook/react,6,1,31
facebook/react,6,2,18
facebook/react,6,3,6
facebook/react,6,4,8
facebook/react,6,5,10
facebook/react,6,6,3
facebook/react,6,7,10
facebook/react,6,8,27
facebook/react,6,9,32
facebook/react,6,10,41
facebook/react,6,11,56
facebook/react,6,12,44
facebook/react,6,13,45
facebook/react,6,14,42
facebook/react,6,15,60
facebook/react,6,16,51
facebook/react,6,17,54
facebook/react,6,18,59
facebook/react,6,19,28
facebook/react,6,20,38
facebook/react,6,21,36
facebook/react,6,22,50
facebook/react,6,23,26
vercel/next.js,0,0,13
vercel/next.js,0,1,24
vercel/next.js,0,2,16
vercel/next.js,0,3,8
vercel/next.js,0,4,14
vercel/next.js,0,5,11
vercel/next.js,0,6,9
vercel/next.js,0,7,11
